"National Center for Education Statistics"


"Gender, as of B&B:16/17 interview by Field of study or major (detailed). "

"","Gender, as of B&B:16/17 interview"
"","Male","Female","Transgender: male-to-female","Transgender: female-to-male","Genderqueer or gender nonconforming","A different gender identity","Questioning or unsure","More than one gender","Total"
"","(%)","(%)","(%)","(%)","(%)","(%)","(%)","(%)"

"ESTIMATES"
"Total","42.160832","56.586857","0.034664 !","0.015503 !!","0.368935","0.070054 !","0.223750","0.539405","100%"
"Field of study or major (detailed)"
"Undecided","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Agriculture and related sciences","43.509561","56.490439","‡","‡","‡","‡","‡","‡","100%"
"Natural resources and conservation","51.875078","46.557959","‡","‡","‡","‡","‡","1.275405 !!","100%"
"Architecture, planning, related services","65.286797","34.713203","‡","‡","‡","‡","‡","‡","100%"
"Area, ethnic, and gender studies","24.588948 !","69.970625","‡","‡","‡","‡","‡","‡","100%"
"Communication and journalism","37.272618","61.708436","‡","‡","0.636682 !","‡","‡","‡","100%"
"Communications technologies/technicians","59.663337","40.042035","‡","‡","‡","‡","‡","‡","100%"
"Computer and information sciences","83.967546","15.586576","‡","‡","‡","‡","‡","0.375954 !","100%"
"Personal and culinary services","33.633955 !","65.748273","‡","‡","‡","‡","‡","‡","100%"
"Education","20.229303","79.357028","‡","‡","‡","‡","‡","0.348139 !","100%"
"Engineering","77.435734","20.864476","‡","‡","‡","‡","‡","0.703279 !","100%"
"Engineering technologies/technicians","83.120712","15.773084 !","‡","‡","‡","‡","‡","‡","100%"
"Foreign languages and literatures","18.670383","81.329617","‡","‡","‡","‡","‡","‡","100%"
"Family, consumer, and human sciences","12.947252","86.640452","‡","‡","‡","‡","‡","‡","100%"
"Legal professions and studies","36.773993","63.226007","‡","‡","‡","‡","‡","‡","100%"
"English language and literature/letters","32.424869","65.023405","‡","‡","‡","‡","‡","0.433097 !!","100%"
"Liberal arts, sciences and humanities","36.329062","63.305626","‡","‡","‡","‡","‡","‡","100%"
"Library science","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Biological and biomedical sciences","36.905319","61.047969","‡","‡","1.122932 !","‡","0.396632 !!","0.459296 !!","100%"
"Mathematics and statistics","52.035837","46.787746","‡","‡","‡","‡","‡","‡","100%"
"Military Technologies","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Multi/interdisciplinary studies","31.739081","66.508071","‡","‡","‡","‡","‡","‡","100%"
"Parks, recreation, and fitness studies","48.001850","50.427820","‡","‡","‡","‡","‡","1.570330 !!","100%"
"Philosophy and religious studies","59.829430","36.143324","‡","‡","3.117191 !!","‡","‡","‡","100%"
"Theology and religious vocations","70.019509","24.333353","‡","‡","‡","‡","‡","‡","100%"
"Physical sciences","61.667022","37.246974","‡","‡","‡","‡","‡","‡","100%"
"Science technologies/technicians","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Psychology","19.978760","78.725299","‡","0.210391 !!","0.312361 !!","‡","‡","0.392414 !!","100%"
"Security and protective services","48.917118","50.040316","‡","‡","‡","‡","‡","0.366565 !!","100%"
"Public administration/social services","24.656860","73.123191","‡","‡","1.107848 !!","‡","‡","1.112101 !!","100%"
"Construction trades","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Mechanic and repair technologies","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Precision production","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Transportation and materials moving","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Visual and performing arts","39.591471","56.341560","‡","‡","1.071988 !","0.036165 !!","1.247618 !!","1.698632 !","100%"
"Health professions and related sciences","16.112381","82.962473","0.162776 !!","‡","0.075139 !!","0.102042 !!","0.247848 !!","0.330279 !","100%"
"Business, management, and marketing","53.422363","46.154755","‡","‡","0.144574 !!","‡","‡","0.278309 !!","100%"
"History","60.512838","38.848180","‡","‡","‡","‡","‡","‡","100%"
"Anthropology","21.285037","76.107989","‡","‡","‡","‡","‡","‡","100%"
"Criminology","32.676703","67.323297","‡","‡","‡","‡","‡","‡","100%"
"Economics","73.273782","25.776184","‡","‡","‡","‡","‡","0.950035 !!","100%"
"Geography","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"International relations and affairs","51.075116","48.924885","‡","‡","‡","‡","‡","‡","100%"
"Political science and government","55.041331","43.257631","‡","‡","‡","‡","‡","‡","100%"
"Sociology","21.586191","76.689327","‡","‡","‡","‡","‡","‡","100%"
"Social sciences, other","37.855380","61.274171","‡","‡","‡","‡","‡","‡","100%"

"STANDARD ERRORS"
"Total","0.0979576","0.0991506","0.0155482","0.0096066","0.0598212","0.0320550","0.0602275","0.0766156"
"Field of study or major (detailed)"
"Undecided","‡","‡","‡","‡","‡","‡","‡","‡"
"Agriculture and related sciences","5.8638703","5.8638703","‡","‡","‡","‡","‡","‡"
"Natural resources and conservation","6.0522529","5.8630971","‡","‡","‡","‡","‡","0.7880258"
"Architecture, planning, related services","8.8841812","8.8841812","‡","‡","‡","‡","‡","‡"
"Area, ethnic, and gender studies","7.6138015","7.8711652","‡","‡","‡","‡","‡","‡"
"Communication and journalism","2.5263575","2.4937814","‡","‡","0.3128552","‡","‡","‡"
"Communications technologies/technicians","8.3565715","8.3341463","‡","‡","‡","‡","‡","‡"
"Computer and information sciences","1.6656564","1.6325458","‡","‡","‡","‡","‡","0.1742759"
"Personal and culinary services","11.1832843","11.3342883","‡","‡","‡","‡","‡","‡"
"Education","1.4250996","1.4379237","‡","‡","‡","‡","‡","0.1594824"
"Engineering","1.4812432","1.4291148","‡","‡","‡","‡","‡","0.3482187"
"Engineering technologies/technicians","4.7625728","4.7764744","‡","‡","‡","‡","‡","‡"
"Foreign languages and literatures","4.0690831","4.0690831","‡","‡","‡","‡","‡","‡"
"Family, consumer, and human sciences","3.5812091","3.6036569","‡","‡","‡","‡","‡","‡"
"Legal professions and studies","10.6603510","10.6603510","‡","‡","‡","‡","‡","‡"
"English language and literature/letters","4.0175577","4.0068027","‡","‡","‡","‡","‡","0.2629432"
"Liberal arts, sciences and humanities","4.9304207","4.9620640","‡","‡","‡","‡","‡","‡"
"Library science","‡","‡","‡","‡","‡","‡","‡","‡"
"Biological and biomedical sciences","1.8698756","1.9259237","‡","‡","0.4353980","‡","0.2241065","0.2559933"
"Mathematics and statistics","4.5185883","4.5131521","‡","‡","‡","‡","‡","‡"
"Military Technologies","‡","‡","‡","‡","‡","‡","‡","‡"
"Multi/interdisciplinary studies","3.7228084","3.8681193","‡","‡","‡","‡","‡","‡"
"Parks, recreation, and fitness studies","3.3473589","3.3770842","‡","‡","‡","‡","‡","1.1312055"
"Philosophy and religious studies","6.6511343","6.5499663","‡","‡","2.0775404","‡","‡","‡"
"Theology and religious vocations","6.1667737","6.2915133","‡","‡","‡","‡","‡","‡"
"Physical sciences","3.9254365","3.8994064","‡","‡","‡","‡","‡","‡"
"Science technologies/technicians","‡","‡","‡","‡","‡","‡","‡","‡"
"Psychology","1.6458303","1.6120621","‡","0.1408616","0.1600638","‡","‡","0.2409713"
"Security and protective services","2.8265683","2.7869948","‡","‡","‡","‡","‡","0.3311722"
"Public administration/social services","3.1434060","3.1855851","‡","‡","0.8234184","‡","‡","0.7560436"
"Construction trades","‡","‡","‡","‡","‡","‡","‡","‡"
"Mechanic and repair technologies","‡","‡","‡","‡","‡","‡","‡","‡"
"Precision production","‡","‡","‡","‡","‡","‡","‡","‡"
"Transportation and materials moving","‡","‡","‡","‡","‡","‡","‡","‡"
"Visual and performing arts","2.0043426","1.9936585","‡","‡","0.4381277","0.0229757","0.7374903","0.6232673"
"Health professions and related sciences","0.9917810","1.0446332","0.1078907","‡","0.0502495","0.0937907","0.2115189","0.1389035"
"Business, management, and marketing","1.3500957","1.3446004","‡","‡","0.0903811","‡","‡","0.1583307"
"History","4.3496467","4.3728492","‡","‡","‡","‡","‡","‡"
"Anthropology","6.2527831","5.4177253","‡","‡","‡","‡","‡","‡"
"Criminology","7.9979436","7.9979436","‡","‡","‡","‡","‡","‡"
"Economics","3.7965943","3.7788586","‡","‡","‡","‡","‡","0.6027056"
"Geography","‡","‡","‡","‡","‡","‡","‡","‡"
"International relations and affairs","6.8772404","6.8772404","‡","‡","‡","‡","‡","‡"
"Political science and government","3.9813627","3.8289996","‡","‡","‡","‡","‡","‡"
"Sociology","3.2676153","3.2953767","‡","‡","‡","‡","‡","‡"
"Social sciences, other","9.3424020","9.3348332","‡","‡","‡","‡","‡","‡"

"RELATIVE STANDARD ERRORS (%)"
"Total","0.2323428","0.1752184","44.8542068","61.9657489","16.2145746","45.7576956","26.9172680","14.2037255"
"Field of study or major (detailed)"
"Undecided","‡","‡","‡","‡","‡","‡","‡","‡"
"Agriculture and related sciences","13.4771995","10.3802881","‡","‡","‡","‡","‡","‡"
"Natural resources and conservation","11.6669759","12.5931144","‡","‡","‡","‡","‡","61.7863153"
"Architecture, planning, related services","13.6079293","25.5930895","‡","‡","‡","‡","‡","‡"
"Area, ethnic, and gender studies","30.9643238","11.2492425","‡","‡","‡","‡","‡","‡"
"Communication and journalism","6.7780522","4.0412326","‡","‡","49.1383758","‡","‡","‡"
"Communications technologies/technicians","14.0062087","20.8134932","‡","‡","‡","‡","‡","‡"
"Computer and information sciences","1.9836907","10.4740501","‡","‡","‡","‡","‡","46.3556142"
"Personal and culinary services","33.2499834","17.2389141","‡","‡","‡","‡","‡","‡"
"Education","7.0447291","1.8119677","‡","‡","‡","‡","‡","45.8099203"
"Engineering","1.9128677","6.8495120","‡","‡","‡","‡","‡","49.5136020"
"Engineering technologies/technicians","5.7297065","30.2824378","‡","‡","‡","‡","‡","‡"
"Foreign languages and literatures","21.7943207","5.0031995","‡","‡","‡","‡","‡","‡"
"Family, consumer, and human sciences","27.6599939","4.1593237","‡","‡","‡","‡","‡","‡"
"Legal professions and studies","28.9888316","16.8607058","‡","‡","‡","‡","‡","‡"
"English language and literature/letters","12.3903590","6.1620930","‡","‡","‡","‡","‡","60.7123392"
"Liberal arts, sciences and humanities","13.5715608","7.8382670","‡","‡","‡","‡","‡","‡"
"Library science","‡","‡","‡","‡","‡","‡","‡","‡"
"Biological and biomedical sciences","5.0666833","3.1547711","‡","‡","38.7733290","‡","56.5024328","55.7359992"
"Mathematics and statistics","8.6836085","9.6460130","‡","‡","‡","‡","‡","‡"
"Military Technologies","‡","‡","‡","‡","‡","‡","‡","‡"
"Multi/interdisciplinary studies","11.7294146","5.8160149","‡","‡","‡","‡","‡","‡"
"Parks, recreation, and fitness studies","6.9733956","6.6968675","‡","‡","‡","‡","‡","72.0361556"
"Philosophy and religious studies","11.1168271","18.1222021","‡","‡","66.6478370","‡","‡","‡"
"Theology and religious vocations","8.8072222","25.8555134","‡","‡","‡","‡","‡","‡"
"Physical sciences","6.3655361","10.4690555","‡","‡","‡","‡","‡","‡"
"Science technologies/technicians","‡","‡","‡","‡","‡","‡","‡","‡"
"Psychology","8.2379002","2.0477053","‡","66.9523365","51.2431620","‡","‡","61.4074113"
"Security and protective services","5.7782805","5.5694989","‡","‡","‡","‡","‡","90.3447289"
"Public administration/social services","12.7486059","4.3564634","‡","‡","74.3259453","‡","‡","67.9833875"
"Construction trades","‡","‡","‡","‡","‡","‡","‡","‡"
"Mechanic and repair technologies","‡","‡","‡","‡","‡","‡","‡","‡"
"Precision production","‡","‡","‡","‡","‡","‡","‡","‡"
"Transportation and materials moving","‡","‡","‡","‡","‡","‡","‡","‡"
"Visual and performing arts","5.0625617","3.5385219","‡","‡","40.8705837","63.5307100","59.1118839","36.6923200"
"Health professions and related sciences","6.1553969","1.2591636","66.2819350","‡","66.8756418","91.9136211","85.3422066","42.0564531"
"Business, management, and marketing","2.5272107","2.9132436","‡","‡","62.5153174","‡","‡","56.8903198"
"History","7.1879734","11.2562525","‡","‡","‡","‡","‡","‡"
"Anthropology","29.3764257","7.1184712","‡","‡","‡","‡","‡","‡"
"Criminology","24.4759812","11.8799048","‡","‡","‡","‡","‡","‡"
"Economics","5.1813817","14.6602716","‡","‡","‡","‡","‡","63.4403865"
"Geography","‡","‡","‡","‡","‡","‡","‡","‡"
"International relations and affairs","13.4649533","14.0567331","‡","‡","‡","‡","‡","‡"
"Political science and government","7.2334057","8.8516164","‡","‡","‡","‡","‡","‡"
"Sociology","15.1375258","4.2970474","‡","‡","‡","‡","‡","‡"
"Social sciences, other","24.6791920","15.2345319","‡","‡","‡","‡","‡","‡"

"WEIGHTED SAMPLE SIZES"
"Total","859472","1153554","707","316","7521","1428","4561","10996","2038555"
"Field of study or major (detailed)"
"Undecided","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Agriculture and related sciences","10364","13456","‡","‡","‡","‡","‡","‡","23820"
"Natural resources and conservation","10084","9050","‡","‡","‡","‡","‡","248","19439"
"Architecture, planning, related services","5453","2900","‡","‡","‡","‡","‡","‡","8353"
"Area, ethnic, and gender studies","2033","5784","‡","‡","‡","‡","‡","‡","8267"
"Communication and journalism","29833","49391","‡","‡","510","‡","‡","‡","80040"
"Communications technologies/technicians","4477","3004","‡","‡","‡","‡","‡","‡","7503"
"Computer and information sciences","57289","10634","‡","‡","‡","‡","‡","257","68227"
"Personal and culinary services","1047","2047","‡","‡","‡","‡","‡","‡","3113"
"Education","19103","74937","‡","‡","‡","‡","‡","329","94431"
"Engineering","86518","23312","‡","‡","‡","‡","‡","786","111730"
"Engineering technologies/technicians","11609","2203","‡","‡","‡","‡","‡","‡","13967"
"Foreign languages and literatures","3311","14423","‡","‡","‡","‡","‡","‡","17734"
"Family, consumer, and human sciences","3730","24962","‡","‡","‡","‡","‡","‡","28811"
"Legal professions and studies","2199","3781","‡","‡","‡","‡","‡","‡","5980"
"English language and literature/letters","16440","32968","‡","‡","‡","‡","‡","220","50702"
"Liberal arts, sciences and humanities","14111","24589","‡","‡","‡","‡","‡","‡","38842"
"Library science","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Biological and biomedical sciences","48096","79560","‡","‡","1463","‡","517","599","130324"
"Mathematics and statistics","13941","12535","‡","‡","‡","‡","‡","‡","26791"
"Military Technologies","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Multi/interdisciplinary studies","10956","22958","‡","‡","‡","‡","‡","‡","34519"
"Parks, recreation, and fitness studies","26865","28223","‡","‡","‡","‡","‡","879","55967"
"Philosophy and religious studies","7551","4562","‡","‡","393","‡","‡","‡","12621"
"Theology and religious vocations","6512","2263","‡","‡","‡","‡","‡","‡","9300"
"Physical sciences","19833","11979","‡","‡","‡","‡","‡","‡","32161"
"Science technologies/technicians","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Psychology","27039","106546","‡","285","423","‡","‡","531","135339"
"Security and protective services","27370","27998","‡","‡","‡","‡","‡","205","55951"
"Public administration/social services","8071","23935","‡","‡","363","‡","‡","364","32733"
"Construction trades","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Mechanic and repair technologies","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Precision production","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Transportation and materials moving","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"Visual and performing arts","45781","65149","‡","‡","1240","42","1443","1964","115634"
"Health professions and related sciences","38252","196957","386","‡","178","242","588","784","237404"
"Business, management, and marketing","212198","183330","‡","‡","574","‡","‡","1105","397207"
"History","16379","10515","‡","‡","‡","‡","‡","‡","27067"
"Anthropology","2272","8123","‡","‡","‡","‡","‡","‡","10673"
"Criminology","2773","5714","‡","‡","‡","‡","‡","‡","8487"
"Economics","23258","8182","‡","‡","‡","‡","‡","302","31742"
"Geography","‡","‡","‡","‡","‡","‡","‡","‡","‡"
"International relations and affairs","4791","4589","‡","‡","‡","‡","‡","‡","9380"
"Political science and government","21406","16823","‡","‡","‡","‡","‡","‡","38891"
"Sociology","7441","26435","‡","‡","‡","‡","‡","‡","34471"
"Social sciences, other","2813","4554","‡","‡","‡","‡","‡","‡","7432"

"CONFIDENCE INTERVALS"
"","Gender, as of B&B:16/17 interview"
"","Male","","Female","","Transgender: male-to-female","","Transgender: female-to-male","","Genderqueer or gender nonconforming","","A different gender identity","","Questioning or unsure","","More than one gender","","Total"
"","Amount","95% Confidence Interval","Amount","95% Confidence Interval","Amount","95% Confidence Interval","Amount","95% Confidence Interval","Amount","95% Confidence Interval","Amount","95% Confidence Interval","Amount","95% Confidence Interval","Amount","95% Confidence Interval"
"Total","42.160832","41.97 - 42.35","56.586857","56.39 - 56.78","0.034664 !","0.00 - 0.07","0.015503 !!","-0.00 - 0.03","0.368935","0.25 - 0.49","0.070054 !","0.01 - 0.13","0.223750","0.11 - 0.34","0.539405","0.39 - 0.69","100%"
"Field of study or major (detailed)"
"Undecided","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Agriculture and related sciences","43.509561","32.02 - 55.00","56.490439","45.00 - 67.98","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Natural resources and conservation","51.875078","40.01 - 63.74","46.557959","35.07 - 58.05","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","1.275405 !!","-0.27 - 2.82","100%"
"Architecture, planning, related services","65.286797","47.87 - 82.70","34.713203","17.30 - 52.13","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Area, ethnic, and gender studies","24.588948 !","9.67 - 39.51","69.970625","54.54 - 85.40","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Communication and journalism","37.272618","32.32 - 42.22","61.708436","56.82 - 66.60","‡","‡","‡","‡","0.636682 !","0.02 - 1.25","‡","‡","‡","‡","‡","‡","100%"
"Communications technologies/technicians","59.663337","43.28 - 76.04","40.042035","23.71 - 56.38","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Computer and information sciences","83.967546","80.70 - 87.23","15.586576","12.39 - 18.79","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","0.375954 !","0.03 - 0.72","100%"
"Personal and culinary services","33.633955 !","11.71 - 55.55","65.748273","43.53 - 87.96","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Education","20.229303","17.44 - 23.02","79.357028","76.54 - 82.18","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","0.348139 !","0.04 - 0.66","100%"
