,Gender,Subject,OR_Type,Word,OR_Score,Sentiment
0,Male,Education,largest_or,fair,5.057840616966581,0.7
1,Male,Education,largest_or,contagious,4.041078305519897,0.0
2,Male,Education,largest_or,beneficial,3.0426356589147288,0.0
3,Male,Education,largest_or,subject,3.0426356589147288,-0.16666666666666666
4,Male,Education,largest_or,provoking,3.026923076923077,0.0
5,Male,Education,largest_or,continuous,3.026923076923077,0.0
6,Male,Education,largest_or,instrumental,3.026923076923077,0.0
7,Male,Education,largest_or,safe,3.026923076923077,0.5
8,Male,Education,largest_or,visual,3.026923076923077,0.0
9,Male,Education,largest_or,complicated,3.026923076923077,-0.5
10,Female,Education,smallest_or,dynamic,0.11068485365160557,0.0
11,Female,Education,smallest_or,overall,0.16666666666666669,0.0
12,Female,Education,smallest_or,grateful,0.20025575447570332,0.0
13,Female,Education,smallest_or,insightful,0.33376013657703796,0.0
14,Female,Education,smallest_or,rewarding,0.33376013657703796,0.5
15,Female,Education,smallest_or,tangible,0.33461210571184996,0.0
16,Female,Education,smallest_or,quick,0.33461210571184996,0.3333333333333333
17,Female,Education,smallest_or,interpersonal,0.33461210571184996,0.0
18,Female,Education,smallest_or,own,0.33461210571184996,0.6
19,Female,Education,smallest_or,active,0.45396120588922645,-0.13333333333333333
20,Male,Computer_&_Information_Sciences,largest_or,slow,7.648825065274153,-0.30000000000000004
21,Male,Computer_&_Information_Sciences,largest_or,exemplary,6.5475880052151245,0.0
22,Male,Computer_&_Information_Sciences,largest_or,new,6.5475880052151245,0.13636363636363635
23,Male,Computer_&_Information_Sciences,largest_or,remarkable,4.371241830065359,0.75
24,Male,Computer_&_Information_Sciences,largest_or,consistent,4.35370611183355,0.25
25,Male,Computer_&_Information_Sciences,largest_or,difficult,4.35370611183355,-0.5
26,Male,Computer_&_Information_Sciences,largest_or,overall,4.35370611183355,0.0
27,Male,Computer_&_Information_Sciences,largest_or,interesting,3.819843342036554,0.5
28,Male,Computer_&_Information_Sciences,largest_or,outstanding,3.2698826597131685,0.5
29,Male,Computer_&_Information_Sciences,largest_or,minor,3.2610389610389614,-0.05
30,Female,Computer_&_Information_Sciences,smallest_or,comprehensible,0.21580310880829015,0.4
31,Female,Computer_&_Information_Sciences,smallest_or,unique,0.2691309987029831,0.375
32,Female,Computer_&_Information_Sciences,smallest_or,vast,0.2700777202072539,0.0
33,Female,Computer_&_Information_Sciences,smallest_or,innovative,0.3079488604780434,0.5
34,Female,Computer_&_Information_Sciences,smallest_or,digestible,0.35887445887445885,0.0
35,Female,Computer_&_Information_Sciences,smallest_or,inspiring,0.3597060095114569,0.5
36,Female,Computer_&_Information_Sciences,smallest_or,insightful,0.3597060095114569,0.0
37,Female,Computer_&_Information_Sciences,smallest_or,challenging,0.3597060095114569,0.5
38,Female,Computer_&_Information_Sciences,smallest_or,provoking,0.36053540587219346,0.0
39,Female,Computer_&_Information_Sciences,smallest_or,instrumental,0.36053540587219346,0.0
40,Male,Psychology,largest_or,continuous,4.129366106080208,0.0
41,Male,Psychology,largest_or,extraordinary,4.129366106080208,0.3333333333333333
42,Male,Psychology,largest_or,relevant,3.1011673151750974,0.4
43,Male,Psychology,largest_or,detailed,3.0930232558139537,0.4
44,Male,Psychology,largest_or,various,3.0930232558139537,0.0
45,Male,Psychology,largest_or,passionate,3.0930232558139537,-0.05
46,Male,Psychology,largest_or,short,3.0930232558139537,0.0
47,Male,Psychology,largest_or,subject,2.7602947550931947,-0.16666666666666666
48,Male,Psychology,largest_or,high,2.5912646675358544,0.16
49,Male,Psychology,largest_or,timely,2.06485084306096,0.0
50,Female,Psychology,smallest_or,empathetic,0.12741623711340205,0.0
51,Female,Psychology,smallest_or,remarkable,0.17031786941580757,0.75
52,Female,Psychology,smallest_or,extensive,0.20463917525773195,0.0
53,Female,Psychology,smallest_or,contagious,0.2561211340206186,0.0
54,Female,Psychology,smallest_or,helpful,0.2561211340206186,0.0
55,Female,Psychology,smallest_or,overall,0.2561211340206186,0.0
56,Female,Psychology,smallest_or,perfect,0.2561211340206186,1.0
57,Female,Psychology,smallest_or,inclusive,0.3058139534883721,0.0
58,Female,Psychology,smallest_or,comprehensive,0.339370418283743,0.0
59,Female,Psychology,smallest_or,enthusiastic,0.34192439862542956,0.6
60,Male,Economics,largest_or,active,7.172108843537416,-0.13333333333333333
61,Male,Economics,largest_or,key,4.365591397849463,0.0
62,Male,Economics,largest_or,comprehensible,4.365591397849463,0.4
63,Male,Economics,largest_or,keen,4.365591397849463,0.0
64,Male,Economics,largest_or,enjoyable,3.8306342780026994,0.5
65,Male,Economics,largest_or,enlightening,3.269798657718121,0.3
66,Male,Economics,largest_or,strong,3.269798657718121,0.4333333333333333
67,Male,Economics,largest_or,intriguing,3.269798657718121,0.30000000000000004
68,Male,Economics,largest_or,well,3.269798657718121,0.0
69,Male,Economics,largest_or,unique,3.269798657718121,0.375
70,Female,Economics,smallest_or,remarkable,0.21633199464524763,0.75
71,Female,Economics,smallest_or,many,0.2707496653279786,0.5
72,Female,Economics,smallest_or,encouraging,0.2707496653279786,0.0
73,Female,Economics,smallest_or,supportive,0.2707496653279786,0.5
74,Female,Economics,smallest_or,passionate,0.2707496653279786,-0.05
75,Female,Economics,smallest_or,individual,0.3086939869781693,0.0
76,Female,Economics,smallest_or,intellectual,0.3086939869781693,0.3
77,Female,Economics,smallest_or,educational,0.3086939869781693,0.25
78,Female,Economics,smallest_or,accessible,0.32335570469798663,0.375
79,Female,Economics,smallest_or,exemplary,0.3605898123324397,0.0
80,Male,Engineering,largest_or,admirable,6.7196765498652296,0.0
81,Male,Engineering,largest_or,well,4.467741935483871,0.0
82,Male,Engineering,largest_or,intellectual,4.467741935483871,0.3
83,Male,Engineering,largest_or,sure,4.467741935483871,0.5
84,Male,Engineering,largest_or,thorough,3.3557951482479784,0.0
85,Male,Engineering,largest_or,tangible,3.346308724832215,0.0
86,Male,Engineering,largest_or,many,3.346308724832215,0.5
87,Male,Engineering,largest_or,exemplary,3.346308724832215,0.0
88,Male,Engineering,largest_or,online,3.346308724832215,0.0
89,Male,Engineering,largest_or,same,3.346308724832215,0.0
90,Female,Engineering,smallest_or,available,0.156644963615473,0.4
91,Female,Engineering,smallest_or,active,0.22037533512064342,-0.13333333333333333
92,Female,Engineering,smallest_or,proficient,0.2214190093708166,0.0
93,Female,Engineering,smallest_or,great,0.24515936848376527,0.8
94,Female,Engineering,smallest_or,new,0.27710843373493976,0.13636363636363635
95,Female,Engineering,smallest_or,inclusive,0.300549115314216,0.0
96,Female,Engineering,smallest_or,comfortable,0.300549115314216,0.4
97,Female,Engineering,smallest_or,outstanding,0.31597089237839904,0.5
98,Female,Engineering,smallest_or,supportive,0.36907953529937443,0.5
99,Female,Engineering,smallest_or,pedagogical,0.36992414100847837,0.0
100,Male,Foreign_Languages_&_Literatures,largest_or,competent,5.096969696969698,0.5
101,Male,Foreign_Languages_&_Literatures,largest_or,other,4.072639225181598,-0.125
102,Male,Foreign_Languages_&_Literatures,largest_or,consistent,4.072639225181598,0.25
103,Male,Foreign_Languages_&_Literatures,largest_or,literary,4.072639225181598,0.1
104,Male,Foreign_Languages_&_Literatures,largest_or,easy,3.5722964763061964,0.43333333333333335
105,Male,Foreign_Languages_&_Literatures,largest_or,more,3.5722964763061964,0.5
106,Male,Foreign_Languages_&_Literatures,largest_or,several,3.050785973397824,0.0
107,Male,Foreign_Languages_&_Literatures,largest_or,intriguing,3.050785973397824,0.30000000000000004
108,Male,Foreign_Languages_&_Literatures,largest_or,little,3.050785973397824,-0.1875
109,Male,Foreign_Languages_&_Literatures,largest_or,interested,3.050785973397824,0.25
110,Female,Foreign_Languages_&_Literatures,smallest_or,genuine,0.11164723227449402,0.4
111,Female,Foreign_Languages_&_Literatures,smallest_or,linguistic,0.2313273183889871,0.1
112,Female,Foreign_Languages_&_Literatures,smallest_or,future,0.252714113389626,0.0
113,Female,Foreign_Languages_&_Literatures,smallest_or,conducive,0.252714113389626,0.0
114,Female,Foreign_Languages_&_Literatures,smallest_or,extraordinary,0.252714113389626,0.3333333333333333
115,Female,Foreign_Languages_&_Literatures,smallest_or,global,0.252714113389626,0.0
116,Female,Foreign_Languages_&_Literatures,smallest_or,true,0.2881297446514838,0.35
117,Female,Foreign_Languages_&_Literatures,smallest_or,enlightening,0.3373542420587053,0.3
118,Female,Foreign_Languages_&_Literatures,smallest_or,pedagogical,0.3373542420587053,0.0
119,Female,Foreign_Languages_&_Literatures,smallest_or,detailed,0.3373542420587053,0.4
